"icd_class","year","age","sex","race","cause","death_count","population_count"
"icd_09","1979","1","female","black","intentional_self_harm",0,274815
"icd_09","1979","1","female","other","intentional_self_harm",0,45961
"icd_09","1979","1","female","white","intentional_self_harm",0,1.38236e+006
"icd_09","1979","1","male","black","intentional_self_harm",0,282869
"icd_09","1979","1","male","other","intentional_self_harm",0,47886
"icd_09","1979","1","male","white","intentional_self_harm",0,1.46051e+006
"icd_09","1979","1-4","female","black","intentional_self_harm",0,936000
"icd_09","1979","1-4","female","other","intentional_self_harm",0,160000
"icd_09","1979","1-4","female","white","intentional_self_harm",0,5.078e+006
"icd_09","1979","1-4","male","black","intentional_self_harm",0,951000
"icd_09","1979","1-4","male","other","intentional_self_harm",0,165000
"icd_09","1979","1-4","male","white","intentional_self_harm",0,5.347e+006
"icd_09","1979","5-9","female","black","intentional_self_harm",0,1.256e+006
"icd_09","1979","5-9","female","other","intentional_self_harm",0,206000
"icd_09","1979","5-9","female","white","intentional_self_harm",0,6.824e+006
"icd_09","1979","5-9","male","black","intentional_self_harm",1,1.273e+006
"icd_09","1979","5-9","male","other","intentional_self_harm",0,212000
"icd_09","1979","5-9","male","white","intentional_self_harm",0,7.176e+006
"icd_09","1979","10-14","female","black","intentional_self_harm",3,1.347e+006
"icd_09","1979","10-14","female","other","intentional_self_harm",0,202000
"icd_09","1979","10-14","female","white","intentional_self_harm",45,7.482e+006
"icd_09","1979","10-14","male","black","intentional_self_harm",4,1.362e+006
"icd_09","1979","10-14","male","other","intentional_self_harm",5,211000
"icd_09","1979","10-14","male","white","intentional_self_harm",94,7.841e+006
"icd_09","1979","15-19","female","black","intentional_self_harm",32,1.502e+006
"icd_09","1979","15-19","female","other","intentional_self_harm",7,215000
"icd_09","1979","15-19","female","white","intentional_self_harm",297,8.781e+006
"icd_09","1979","15-19","male","black","intentional_self_harm",100,1.495e+006
"icd_09","1979","15-19","male","other","intentional_self_harm",47,228000
"icd_09","1979","15-19","male","white","intentional_self_harm",1305,9.127e+006
"icd_09","1979","20-24","female","black","intentional_self_harm",65,1.408e+006
"icd_09","1979","20-24","female","other","intentional_self_harm",22,224000
"icd_09","1979","20-24","female","white","intentional_self_harm",578,8.909e+006
"icd_09","1979","20-24","male","black","intentional_self_harm",289,1.287e+006
"icd_09","1979","20-24","male","other","intentional_self_harm",82,224000
"icd_09","1979","20-24","male","white","intentional_self_harm",2422,9.044e+006
"icd_09","1979","25-34","female","black","intentional_self_harm",118,2.177e+006
"icd_09","1979","25-34","female","other","intentional_self_harm",28,464000
"icd_09","1979","25-34","female","white","intentional_self_harm",1206,1.5535e+007
"icd_09","1979","25-34","male","black","intentional_self_harm",469,1.886e+006
"icd_09","1979","25-34","male","other","intentional_self_harm",85,403000
"icd_09","1979","25-34","male","white","intentional_self_harm",3951,1.5573e+007
"icd_09","1979","35-44","female","black","intentional_self_harm",60,1.458e+006
"icd_09","1979","35-44","female","other","intentional_self_harm",16,301000
"icd_09","1979","35-44","female","white","intentional_self_harm",1120,1.1042e+007
"icd_09","1979","35-44","male","black","intentional_self_harm",205,1.212e+006
"icd_09","1979","35-44","male","other","intentional_self_harm",45,266000
"icd_09","1979","35-44","male","white","intentional_self_harm",2430,1.0835e+007
"icd_09","1979","45-54","female","black","intentional_self_harm",36,1.251e+006
"icd_09","1979","45-54","female","other","intentional_self_harm",19,228000
"icd_09","1979","45-54","female","white","intentional_self_harm",1207,1.0389e+007
"icd_09","1979","45-54","male","black","intentional_self_harm",141,1.024e+006
"icd_09","1979","45-54","male","other","intentional_self_harm",24,190000
"icd_09","1979","45-54","male","white","intentional_self_harm",2362,9.853e+006
"icd_09","1979","55-64","female","black","intentional_self_harm",40,1.044e+006
"icd_09","1979","55-64","female","other","intentional_self_harm",13,147000
"icd_09","1979","55-64","female","white","intentional_self_harm",1010,1.0216e+007
"icd_09","1979","55-64","male","black","intentional_self_harm",108,845000
"icd_09","1979","55-64","male","other","intentional_self_harm",11,135000
"icd_09","1979","55-64","male","white","intentional_self_harm",2386,9.061e+006
"icd_09","1979","65-74","female","black","intentional_self_harm",20,766000
"icd_09","1979","65-74","female","other","intentional_self_harm",9,83000
"icd_09","1979","65-74","female","white","intentional_self_harm",613,7.841e+006
"icd_09","1979","65-74","male","black","intentional_self_harm",76,564000
"icd_09","1979","65-74","male","other","intentional_self_harm",12,87000
"icd_09","1979","65-74","male","white","intentional_self_harm",2000,5.997e+006
"icd_09","1979","75-84","female","black","intentional_self_harm",9,360000
"icd_09","1979","75-84","female","other","intentional_self_harm",11,36000
"icd_09","1979","75-84","female","white","intentional_self_harm",292,4.373e+006
"icd_09","1979","75-84","male","black","intentional_self_harm",25,238000
"icd_09","1979","75-84","male","other","intentional_self_harm",9,29000
"icd_09","1979","75-84","male","white","intentional_self_harm",1231,2.562e+006
"icd_09","1979","85+","female","black","intentional_self_harm",1,104000
"icd_09","1979","85+","female","other","intentional_self_harm",0,10000
"icd_09","1979","85+","female","white","intentional_self_harm",71,1.407e+006
"icd_09","1979","85+","male","black","intentional_self_harm",8,52000
"icd_09","1979","85+","male","other","intentional_self_harm",4,7000
"icd_09","1979","85+","male","white","intentional_self_harm",310,617000
"icd_09","1980","1","female","black","intentional_self_harm",0,280084
"icd_09","1980","1","female","other","intentional_self_harm",0,52564
"icd_09","1980","1","female","white","intentional_self_harm",0,1.42699e+006
"icd_09","1980","1","male","black","intentional_self_harm",0,287996
"icd_09","1980","1","male","other","intentional_self_harm",0,55263
"icd_09","1980","1","male","white","intentional_self_harm",0,1.50936e+006
"icd_09","1980","1-4","female","black","intentional_self_harm",0,950534
"icd_09","1980","1-4","female","other","intentional_self_harm",0,181334
"icd_09","1980","1-4","female","white","intentional_self_harm",0,5.12702e+006
"icd_09","1980","1-4","male","black","intentional_self_harm",0,967347
"icd_09","1980","1-4","male","other","intentional_self_harm",0,185942
"icd_09","1980","1-4","male","white","intentional_self_harm",0,5.40238e+006
"icd_09","1980","5-9","female","black","intentional_self_harm",0,1.2421e+006
"icd_09","1980","5-9","female","other","intentional_self_harm",0,230563
"icd_09","1980","5-9","female","white","intentional_self_harm",0,6.68822e+006
"icd_09","1980","5-9","male","black","intentional_self_harm",1,1.26218e+006
"icd_09","1980","5-9","male","other","intentional_self_harm",0,237934
"icd_09","1980","5-9","male","white","intentional_self_harm",2,7.03897e+006
"icd_09","1980","10-14","female","black","intentional_self_harm",2,1.33591e+006
"icd_09","1980","10-14","female","other","intentional_self_harm",0,220807
"icd_09","1980","10-14","female","white","intentional_self_harm",24,7.36919e+006
"icd_09","1980","10-14","male","black","intentional_self_harm",7,1.35135e+006
"icd_09","1980","10-14","male","other","intentional_self_harm",0,230818
"icd_09","1980","10-14","male","white","intentional_self_harm",106,7.73405e+006
"icd_09","1980","15-19","female","black","intentional_self_harm",24,1.50411e+006
"icd_09","1980","15-19","female","other","intentional_self_harm",7,231385
"icd_09","1980","15-19","female","white","intentional_self_harm",283,8.67722e+006
"icd_09","1980","15-19","male","black","intentional_self_harm",84,1.49774e+006
"icd_09","1980","15-19","male","other","intentional_self_harm",47,244346
"icd_09","1980","15-19","male","white","intentional_self_harm",1352,9.01332e+006
"icd_09","1980","20-24","female","black","intentional_self_harm",45,1.43314e+006
"icd_09","1980","20-24","female","other","intentional_self_harm",16,246887
"icd_09","1980","20-24","female","white","intentional_self_harm",528,8.97545e+006
"icd_09","1980","20-24","male","black","intentional_self_harm",262,1.30876e+006
"icd_09","1980","20-24","male","other","intentional_self_harm",62,244998
"icd_09","1980","20-24","male","white","intentional_self_harm",2529,9.10947e+006
